name,type_line,oracle_text,colors,cmc,rarity,set_name,released_at,power,toughness,keywords,image_uri
"Lagorin, Soul of Alacria",Legendary Creature — Beast Mount,"Flying
Whenever Lagorin attacks while saddled, put a +1/+1 counter on each of up to two target Mounts and/or Vehicles.
Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)","G,W",2.0,uncommon,Aetherdrift,2025-02-14,1,1,"Flying,Saddle",https://cards.scryfall.io/normal/front/7/b/7b04e3f4-103b-4845-b3f0-5417971c7666.jpg?1738356691
Lakeside Shack,Land,"This land enters tapped unless a player has 13 or less life.
{T}: Add {G} or {U}.",Colorless,0.0,common,Duskmourn: House of Horror,2024-09-27,,,,https://cards.scryfall.io/normal/front/a/9/a9367acd-393a-4966-ba60-af2ecd4e7596.jpg?1726286852
Lamplight Phoenix,Creature — Phoenix,"Flying
When this creature dies, you may exile it and collect evidence 4. If you do, return this card to the battlefield tapped. (To collect evidence 4, exile cards with total mana value 4 or greater from your graveyard.)",R,3.0,rare,Murders at Karlov Manor,2024-02-09,3,3,"Flying,Collect evidence",https://cards.scryfall.io/normal/front/2/f/2faa0e56-527c-4be5-b8c9-b10ccde275f5.jpg?1706241899
Larval Scoutlander,Artifact — Spacecraft,"When this Spacecraft enters, you may sacrifice a land or Lander. If you do, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 7+.)
STATION 7+
Flying",G,3.0,uncommon,Edge of Eternities,2025-08-01,3,3,"Flying,Station",https://cards.scryfall.io/normal/front/d/6/d6083f43-58dc-46fc-aeff-347b1080417b.jpg?1755341414
Lashwhip Predator,Creature — Plant Beast,"This spell costs {2} less to cast if your opponents control three or more creatures.
Reach",G,6.0,uncommon,Edge of Eternities,2025-08-01,5,7,Reach,https://cards.scryfall.io/normal/front/2/4/24553e98-29a9-47e3-91c7-9add708d9ad1.jpg?1752947350
Lassoed by the Law,Enchantment,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.
When this enchantment enters, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",W,4.0,uncommon,Outlaws of Thunder Junction,2024-04-19,,,,https://cards.scryfall.io/normal/front/e/a/ea96eeac-c316-4247-a81f-0ddf52675ebf.jpg?1712355295
Lasyd Prowler,Creature — Snake Ranger,"When this creature enters, you may mill cards equal to the number of lands you control.
Renew — {1}{G}, Exile this card from your graveyard: Put X +1/+1 counters on target creature, where X is the number of land cards in your graveyard. Activate only as a sorcery.",G,4.0,rare,Tarkir: Dragonstorm,2025-04-11,5,5,"Renew,Mill",https://cards.scryfall.io/normal/front/c/7/c7f5c8ef-8e9e-4264-a7d2-126a30a5d341.jpg?1743204564
"Lathliss, Dragon Queen",Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,6.0,rare,Tarkir: Dragonstorm Commander,2025-04-11,6,6,Flying,https://cards.scryfall.io/normal/front/0/c/0cb48015-627b-49cd-8dc3-d446e82b8172.jpg?1743206700
"Lathril, Blade of the Elves",Legendary Creature — Elf Noble,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Lathril deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.
{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.","B,G",4.0,rare,Foundations,2024-11-15,2,3,Menace,https://cards.scryfall.io/normal/front/8/d/8d4e5480-a287-4a25-b855-a26dae555b1c.jpg?1730489505
Laughing Jasper Flint,Legendary Creature — Lizard Rogue,"Creatures you control but don't own are Mercenaries in addition to their other types.
At the beginning of your upkeep, exile the top X cards of target opponent's library, where X is the number of outlaws you control. Until end of turn, you may cast spells from among those cards, and mana of any type can be spent to cast those spells.","B,R",3.0,rare,Outlaws of Thunder Junction,2024-04-19,4,3,,https://cards.scryfall.io/normal/front/a/f/af0b3a41-ba99-41e8-bcfb-5796500c17c7.jpg?1712356142
Laughing Mad,Instant,"As an additional cost to cast this spell, discard a card.
Draw two cards.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)",R,3.0,common,Final Fantasy,2025-06-13,,,Flashback,https://cards.scryfall.io/normal/front/c/d/cd5b9daf-6325-4eb4-a069-4a8cc7807884.jpg?1748706298
Lavaspur Boots,Artifact — Equipment,"Equipped creature gets +1/+0 and has haste and ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
Equip {1}",Colorless,1.0,uncommon,Outlaws of Thunder Junction,2024-04-19,,,Equip,https://cards.scryfall.io/normal/front/e/5/e50709de-e6ef-4dbc-af1e-290fed279f34.jpg?1712356267
"Lazav, Familiar Stranger",Legendary Creature — Shapeshifter,"Whenever you commit a crime, put a +1/+1 counter on Lazav. Then you may exile a card from a graveyard. If a creature card was exiled this way, you may have Lazav become a copy of that card until end of turn. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)","B,U",3.0,uncommon,Outlaws of Thunder Junction,2024-04-19,1,4,,https://cards.scryfall.io/normal/front/0/0/00293326-3eb2-492c-b565-7abafa037d8c.jpg?1712356143
"Lazav, Wearer of Faces",Legendary Creature — Shapeshifter Detective,"Whenever Lazav attacks, exile target card from a graveyard, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, you may have Lazav become a copy of a creature card exiled with it until end of turn.","B,U",2.0,rare,Murders at Karlov Manor,2024-02-09,2,3,Investigate,https://cards.scryfall.io/normal/front/c/c/cc264d1d-689d-41ac-b624-3fc7bb890e58.jpg?1706242204
Lead Pipe,Artifact — Clue Equipment,"Equipped creature gets +2/+0.
Whenever equipped creature dies, each opponent loses 1 life.
{2}, Sacrifice this Equipment: Draw a card.
Equip {2}",B,1.0,uncommon,Murders at Karlov Manor,2024-02-09,,,Equip,https://cards.scryfall.io/normal/front/8/7/87f69249-c6e4-40c1-9870-b9c45ce24c39.jpg?1706241707
Leaping Ambush,Instant,Target creature gets +1/+3 and gains reach until end of turn. Untap it.,G,1.0,common,Wilds of Eldraine,2023-09-08,,,,https://cards.scryfall.io/normal/front/2/7/2785f716-274c-495c-b4e3-71a72e22f856.jpg?1692938918
Leering Onlooker,Creature — Vampire,"Flying
{2}{B}{B}, Exile this card from your graveyard: Create two tapped 1/1 black Bat creature tokens with flying.",B,2.0,uncommon,Murders at Karlov Manor,2024-02-09,1,3,Flying,https://cards.scryfall.io/normal/front/d/c/dc687588-9c57-411d-b666-b9699949d48f.jpg?1706241713
Legion Extruder,Artifact,"When this artifact enters, it deals 2 damage to any target.
{2}, {T}, Sacrifice another artifact: Create a 3/3 colorless Golem artifact creature token.",R,2.0,mythic,The Big Score,2024-04-19,,,,https://cards.scryfall.io/normal/front/5/a/5a077de0-1893-40d0-a499-ee2e6e2258f1.jpg?1739804188
Leonin Skyhunter,Creature — Cat Knight,Flying,W,2.0,uncommon,Duel Decks: Knights vs. Dragons,2011-04-01,2,2,Flying,https://cards.scryfall.io/normal/front/1/5/15d6476c-1944-48e8-9af6-6db78edd58e5.jpg?1562899585
Leonin Surveyor,Creature — Cat Scout,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
During your turn, this creature has first strike.
Max speed — {3}, Exile this card from your graveyard: Draw a card.",W,2.0,common,Aetherdrift,2025-02-14,2,2,"Max speed,Start your engines!",https://cards.scryfall.io/normal/front/e/0/e08e4107-213f-491b-a032-8e3367009ba8.jpg?1738356144
Leonin Vanguard,Creature — Cat Soldier,"At the beginning of combat on your turn, if you control three or more creatures, this creature gets +1/+1 until end of turn and you gain 1 life.",W,1.0,uncommon,Core Set 2019,2018-07-13,1,1,,https://cards.scryfall.io/normal/front/7/2/724738ad-6a9b-4ef6-b637-558645cd8151.jpg?1562302694
Let's Play a Game,Sorcery,"Delirium — Choose one. If there are four or more card types among cards in your graveyard, choose one or more instead.
• Creatures your opponents control get -1/-1 until end of turn.
• Each opponent discards two cards.
• Each opponent loses 3 life and you gain 3 life.",B,4.0,uncommon,Duskmourn: House of Horror,2024-09-27,,,Delirium,https://cards.scryfall.io/normal/front/6/4/645911b4-7728-4380-9097-e4139b986423.jpg?1726286240
Leyline Axe,Artifact — Equipment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Equipped creature gets +1/+1 and has double strike and trample.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",Colorless,4.0,rare,Foundations,2024-11-15,,,Equip,https://cards.scryfall.io/normal/front/b/9/b9c03336-a321-4c06-94d1-809f328fabd8.jpg?1730489083
Leyline of Hope,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
If you would gain life, you gain that much life plus 1 instead.
As long as you have at least 7 life more than your starting life total, creatures you control get +2/+2.",W,4.0,rare,Duskmourn: House of Horror,2024-09-27,,,,https://cards.scryfall.io/normal/front/4/0/40960e47-3065-485e-aede-29a62411034e.jpg?1726285926
Leyline of Mutation,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
You may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells you cast.",G,4.0,rare,Duskmourn: House of Horror,2024-09-27,,,,https://cards.scryfall.io/normal/front/2/3/2359b670-41f0-4ec7-8db9-3f87f7577bc3.jpg?1726286566
Leyline of Resonance,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Whenever you cast an instant or sorcery spell that targets only a single creature you control, copy that spell. You may choose new targets for the copy.",R,4.0,rare,Duskmourn: House of Horror,2024-09-27,,,,https://cards.scryfall.io/normal/front/9/2/92c5f0e3-345a-40a8-9cda-565a62156692.jpg?1731574465
Leyline of the Guildpact,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Each nonland permanent you control is all colors.
Lands you control are every basic land type in addition to their other types.","B,G,R,U,W",4.0,rare,Murders at Karlov Manor,2024-02-09,,,,https://cards.scryfall.io/normal/front/b/f/bf6e59be-f959-4f4a-8c2d-b7c441e88135.jpg?1706242205
Leyline of the Void,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
If a card would be put into an opponent's graveyard from anywhere, exile it instead.",B,4.0,rare,Duskmourn: House of Horror,2024-09-27,,,,https://cards.scryfall.io/normal/front/a/e/aeaa3aff-608d-4723-bb7c-8daedebe9f36.jpg?1726286244
Leyline of Transformation,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
As this enchantment enters, choose a creature type.
Creatures you control are the chosen type in addition to their other types. The same is true for creature spells you control and creature cards you own that aren't on the battlefield.",U,4.0,rare,Duskmourn: House of Horror,2024-09-27,,,,https://cards.scryfall.io/normal/front/4/b/4bd941ca-f3d2-44c1-8df3-851362f6b848.jpg?1726286087
Lich-Knights' Conquest,Sorcery,"Sacrifice any number of artifacts, enchantments, and/or tokens. Return that many creature cards from your graveyard to the battlefield.",B,5.0,rare,Wilds of Eldraine,2023-09-08,,,,https://cards.scryfall.io/normal/front/5/9/59cd67d3-3327-42ad-9db1-50e2f591818c.jpg?1692937702
Lie in Wait,Sorcery,Return target creature card from your graveyard to your hand. Lie in Wait deals damage equal to that card's power to target creature.,"B,G,U",3.0,uncommon,Tarkir: Dragonstorm,2025-04-11,,,,https://cards.scryfall.io/normal/front/9/6/96fff22c-282b-4849-82ce-890013b53262.jpg?1743204797
Lifecraft Engine,Artifact — Vehicle,"As this Vehicle enters, choose a creature type.
Vehicle creatures you control are the chosen creature type in addition to their other types.
Each creature you control of the chosen type other than this Vehicle gets +1/+1.
Crew 3",Colorless,3.0,rare,Aetherdrift,2025-02-14,4,4,Crew,https://cards.scryfall.io/normal/front/4/0/40c92203-17df-4f10-92c6-ebcc79f01357.jpg?1738356801
Lifecreed Duo,Creature — Bat Bird,"Flying
Whenever another creature you control enters, you gain 1 life.",W,2.0,common,Bloomburrow,2024-08-02,1,2,Flying,https://cards.scryfall.io/normal/front/c/a/ca543405-5e12-48a0-9a77-082ac9bcb2f2.jpg?1721425877
Lightfoot Technique,Instant,"Put a +1/+1 counter on target creature. It gains flying and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",W,2.0,common,Tarkir: Dragonstorm,2025-04-11,,,,https://cards.scryfall.io/normal/front/b/a/baac1a41-d44d-4184-9147-b4233e73de65.jpg?1743204007
Lightless Evangel,Creature — Vampire Cleric,"Whenever you sacrifice another creature or artifact, put a +1/+1 counter on this creature.",B,2.0,uncommon,Edge of Eternities,2025-08-01,2,2,,https://cards.scryfall.io/normal/front/6/8/6860556a-6c34-4c41-89ea-f0bc495a159c.jpg?1752946994
"Lightning, Army of One",Legendary Creature — Human Soldier,"First strike, trample, lifelink
Stagger — Whenever Lightning deals combat damage to a player, until your next turn, if a source would deal damage to that player or a permanent that player controls, it deals double that damage instead.","R,W",3.0,mythic,Final Fantasy,2025-06-13,3,2,"Lifelink,Stagger,First strike,Trample",https://cards.scryfall.io/normal/front/1/1/1103da9c-300c-406b-997d-9e5bb7cd02d6.jpg?1748706652
Lightning Helix,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W",2.0,uncommon,Murders at Karlov Manor,2024-02-09,,,,https://cards.scryfall.io/normal/front/4/1/4101e3fe-b0e7-4f0f-b9ac-9b61a4d628b3.jpg?1706242208
"Lightning, Security Sergeant",Legendary Creature — Human Soldier,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Lightning deals combat damage to a player, exile the top card of your library. You may play that card for as long as you control Lightning.",R,3.0,rare,Final Fantasy,2025-06-13,2,3,Menace,https://cards.scryfall.io/normal/front/4/a/4ad4dce3-6e43-4528-b570-85547d03164e.jpg?1748707602
Lightning Strike,Instant,Lightning Strike deals 3 damage to any target.,R,2.0,common,Avatar: The Last Airbender,2025-11-21,,,,https://cards.scryfall.io/normal/front/5/7/5787b0e0-9469-4a6d-8b81-c992628e28c0.jpg?1755205241
Light of Judgment,Instant,Light of Judgment deals 6 damage to target creature. Destroy up to one Equipment attached to that creature.,R,5.0,common,Final Fantasy,2025-06-13,,,,https://cards.scryfall.io/normal/front/9/8/98bb716d-ca66-445f-9cb3-0fc656c8ebff.jpg?1748706299
Lightshell Duo,Creature — Rat Otter,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",U,4.0,common,Foundations,2024-11-15,3,4,"Surveil,Prowess",https://cards.scryfall.io/normal/front/b/b/bb75315c-ea8f-4eb0-899e-c73ef75fc396.jpg?1730489189
Lightshield Parry,Instant,"Target creature gets +2/+2 until end of turn.
Cycling {2} ({2}, Discard this card: Draw a card.)",W,1.0,common,Aetherdrift,2025-02-14,,,Cycling,https://cards.scryfall.io/normal/front/d/c/dcf6a0e7-1fd4-425f-b634-c93236daea35.jpg?1738356149
Lightstall Inquisitor,Creature — Angel Wizard,"Vigilance
When this creature enters, each opponent exiles a card from their hand and may play that card for as long as it remains exiled. Each spell cast this way costs {1} more to cast. Each land played this way enters tapped.",W,1.0,rare,Edge of Eternities,2025-08-01,2,1,Vigilance,https://cards.scryfall.io/normal/front/6/3/635245e9-c27f-4a51-a6f1-bae62e696542.jpg?1752946647
Lightwheel Enhancements,Enchantment — Aura,"Enchant creature or Vehicle
Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
Enchanted permanent gets +1/+1 and has vigilance.
Max speed — You may cast this card from your graveyard.",W,1.0,common,Aetherdrift,2025-02-14,,,"Max speed,Enchant,Start your engines!",https://cards.scryfall.io/normal/front/9/a/9ab169c1-4e25-4a5d-8961-4f06298c3781.jpg?1738356152
Likeness Looter,Creature — Faerie Shapeshifter,"Flying
{T}: Draw a card, then discard a card.
{X}: This creature becomes a copy of target creature card in your graveyard with mana value X, except it has flying and this ability. Activate only as a sorcery.","B,U",2.0,rare,Wilds of Eldraine,2023-09-08,1,1,Flying,https://cards.scryfall.io/normal/front/2/9/2957472a-825e-4904-b7e8-62bef1cb432d.jpg?1692939367
"Lilah, Undefeated Slickshot",Legendary Creature — Human Rogue,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever you cast a multicolored instant or sorcery spell from your hand, exile that spell instead of putting it into your graveyard as it resolves. If you do, it becomes plotted. (You may cast it as a sorcery on a later turn without paying its mana cost.)","R,U",3.0,rare,Outlaws of Thunder Junction,2024-04-19,3,3,"Plot,Prowess",https://cards.scryfall.io/normal/front/e/2/e21f90ea-5934-4757-8515-38ef116afac1.jpg?1712356151
"Liliana, Dreadhorde General",Legendary Planeswalker — Liliana,"Whenever a creature you control dies, draw a card.
+1: Create a 2/2 black Zombie creature token.
−4: Each player sacrifices two creatures of their choice.
−9: Each opponent chooses a permanent they control of each permanent type and sacrifices the rest.",B,6.0,mythic,Foundations,2024-11-15,,,,https://cards.scryfall.io/normal/front/c/b/cb28d217-795e-4320-a032-cd713f7ecc8a.jpg?1732102737
Lilypad Village,Land,"{T}: Add {C}.
{T}: Add {U}. Spend this mana only to cast a creature spell.
{U}, {T}: Surveil 2. Activate only if a Bird, Frog, Otter, or Rat entered the battlefield under your control this turn.",Colorless,0.0,uncommon,Bloomburrow,2024-08-02,,,Surveil,https://cards.scryfall.io/normal/front/7/e/7e95a7cc-ed77-4ca4-80db-61c0fc68bf50.jpg?1721639529
Lilysplash Mentor,Creature — Frog Druid,"Reach
{1}{G}{U}: Exile another target creature you control, then return it to the battlefield under its owner's control with a +1/+1 counter on it. Activate only as a sorcery.","G,U",4.0,uncommon,Bloomburrow,2024-08-02,4,4,Reach,https://cards.scryfall.io/normal/front/6/4/64de7b1f-a03e-4407-91f1-e108a2f26735.jpg?1721427132
"Lindblum, Industrial Regency // Mage Siege",Land — Town // Instant — Adventure,,Colorless,0.0,rare,Final Fantasy,2025-06-13,,,,https://cards.scryfall.io/normal/front/5/4/548dd152-f0b6-4e8f-9afc-a4ec1671b648.jpg?1748706846
"Linden, the Steadfast Queen",Legendary Creature — Human Noble,"Vigilance (Attacking doesn't cause this creature to tap.)
Whenever a white creature you control attacks, you gain 1 life.",W,3.0,rare,Foundations,2024-11-15,3,3,Vigilance,https://cards.scryfall.io/normal/front/0/d/0dcd0898-db3d-44ec-9d56-a1b558da90f4.jpg?1730490791
Lion Heart,Artifact — Equipment,"When this Equipment enters, it deals 2 damage to any target.
Equipped creature gets +2/+1.
Equip {2}",Colorless,4.0,uncommon,Final Fantasy,2025-06-13,,,Equip,https://cards.scryfall.io/normal/front/0/4/04d327a3-1699-4556-b681-a957671ad142.jpg?1748706764
Lionheart Glimmer,Enchantment Creature — Cat Glimmer,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Whenever you attack, creatures you control get +1/+1 until end of turn.",W,5.0,uncommon,Duskmourn: House of Horror,2024-09-27,2,5,Ward,https://cards.scryfall.io/normal/front/4/8/483e1c6f-331c-45f1-bf5d-9b9742aa8903.jpg?1726285926
Lithobraking,Instant,"Create a Lander token. Then you may sacrifice an artifact. When you do, Lithobraking deals 2 damage to each creature. (A Lander token is an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",R,3.0,uncommon,Edge of Eternities,2025-08-01,,,,https://cards.scryfall.io/normal/front/5/a/5a22024c-2c0f-4487-98d1-ee89cf3dba89.jpg?1752947127
Lively Dirge,Sorcery,"Spree (Choose one or more additional costs.)
+ {1} — Search your library for a card, put it into your graveyard, then shuffle.
+ {2} — Return up to two creature cards with total mana value 4 or less from your graveyard to the battlefield.",B,2.0,uncommon,Outlaws of Thunder Junction,2024-04-19,,,Spree,https://cards.scryfall.io/normal/front/0/c/0c35a0d3-12f7-46f3-a6b3-02a490d45ca0.jpg?1712860594
Live or Die,Instant,"Choose one —
• Return target creature card from your graveyard to the battlefield.
• Destroy target creature.",B,5.0,uncommon,Duskmourn: House of Horror,2024-09-27,,,,https://cards.scryfall.io/normal/front/c/d/cd81e438-e38f-42a1-b677-202dbcb3837c.jpg?1726286247
"Living Brain, Mechanical Marvel",Legendary Artifact Creature — Robot Villain,"At the beginning of combat on your turn, target non-Equipment artifact you control becomes an artifact creature with base power and toughness 3/3 until end of turn. Untap it.",Colorless,4.0,uncommon,Marvel's Spider-Man,2025-09-26,3,3,,https://cards.scryfall.io/normal/front/2/6/26833b64-2e6d-4977-9a6e-6fe73c54d671.jpg?1757378042
Living Conundrum,Creature — Elemental,"Hexproof
If you would draw a card while your library has no cards in it, skip that draw instead.
As long as there are no cards in your library, this creature has base power and toughness 10/10 and has flying and vigilance.",U,5.0,uncommon,Murders at Karlov Manor,2024-02-09,2,5,Hexproof,https://cards.scryfall.io/normal/front/9/7/97fb11c7-7b7f-4bdb-a022-53e28ebadecc.jpg?1706241624
Living Lectern,Artifact Creature — Construct,"{1}, Sacrifice this creature: Draw a card. Create a Sorcerer Role token attached to up to one other target creature you control. Activate only as a sorcery. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has ""Whenever this creature attacks, scry 1."")",U,2.0,common,Wilds of Eldraine,2023-09-08,0,4,"Role token,Scry",https://cards.scryfall.io/normal/front/1/6/169afcaf-7ebf-4590-9e51-2a1a5eb3ac76.jpg?1692937140
Living Phone,Artifact Creature — Toy,"When this creature dies, look at the top five cards of your library. You may reveal a creature card with power 2 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",W,3.0,common,Duskmourn: House of Horror,2024-09-27,2,1,,https://cards.scryfall.io/normal/front/8/2/8266f93b-f91c-4427-a222-075ceb0be3af.jpg?1726285933
"Lizard, Connors's Curse",Legendary Creature — Lizard Villain,"Trample
Lizard Formula — When Lizard, Connors's Curse enters, up to one other target creature loses all abilities and becomes a green Lizard creature with base power and toughness 4/4.",G,4.0,rare,Marvel's Spider-Man,2025-09-26,5,5,Trample,https://cards.scryfall.io/normal/front/6/a/6add5d2a-950e-4bee-9850-e68f5f6d6142.jpg?1757377462
Llanowar Elves,Creature — Elf Druid,{T}: Add {G}.,G,1.0,common,Foundations,2024-11-15,1,1,,https://cards.scryfall.io/normal/front/6/a/6a0b230b-d391-4998-a3f7-7b158a0ec2cd.jpg?1731652605
Loading Zone,Enchantment,"If one or more counters would be put on a creature, Spacecraft, or Planet you control, twice that many of each of those kinds of counters are put on it instead.
Warp {G} (You may cast this card from your hand for its warp cost. Exile this enchantment at the beginning of the next end step, then you may cast it from exile on a later turn.)",G,4.0,rare,Edge of Eternities,2025-08-01,,,Warp,https://cards.scryfall.io/normal/front/0/d/0d2c95bd-79af-4a23-b265-62cc0b164e3e.jpg?1752947354
Loan Shark,Creature — Shark Rogue,"When this creature enters, if you've cast two or more spells this turn, draw a card.
Plot {3}{U} (You may pay {3}{U} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",U,4.0,common,Outlaws of Thunder Junction,2024-04-19,3,4,Plot,https://cards.scryfall.io/normal/front/4/9/49f12760-ff07-4c9f-a7a9-1e64bd3a9adf.jpg?1712355452
Locke Cole,Legendary Creature — Human Rogue,"Deathtouch, lifelink
Whenever Locke Cole deals combat damage to a player, draw a card, then discard a card.","B,U",3.0,uncommon,Final Fantasy,2025-06-13,2,3,"Lifelink,Deathtouch",https://cards.scryfall.io/normal/front/5/7/572feb8c-6976-40a8-8a34-b4db836cca56.jpg?1748706655
Locust Spray,Instant,"Target creature gets -1/-1 until end of turn.
Cycling {B} ({B}, Discard this card: Draw a card.)",B,1.0,uncommon,Aetherdrift,2025-02-14,,,Cycling,https://cards.scryfall.io/normal/front/5/4/54b3a547-6f74-4cb4-ad98-7e1b75f1a120.jpg?1738356333
Lodestone Needle // Guidestone Compass,Artifact // Artifact,,Colorless,2.0,uncommon,The Lost Caverns of Ixalan,2023-11-17,,,"Craft,Transform,Explore,Flash",
Lonely Arroyo,Land — Desert,"This land enters tapped.
When this land enters, it deals 1 damage to target opponent.
{T}: Add {W} or {U}.",Colorless,0.0,common,Outlaws of Thunder Junction,2024-04-19,,,,https://cards.scryfall.io/normal/front/4/b/4b778b63-e5fc-4d63-a93b-4372f32cade2.jpg?1712356340
Long Goodbye,Instant,"This spell can't be countered. (This includes by the ward ability.)
Destroy target creature or planeswalker with mana value 3 or less.",B,2.0,uncommon,Murders at Karlov Manor,2024-02-09,,,,https://cards.scryfall.io/normal/front/c/3/c3896705-bbd2-4ffb-a590-ee78e0eabdc5.jpg?1706241715
Longhorn Sharpshooter,Creature — Minotaur Rogue,"Reach
When this card becomes plotted, it deals 2 damage to any target.
Plot {3}{R} (You may pay {3}{R} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",R,3.0,uncommon,Outlaws of Thunder Junction,2024-04-19,3,3,"Reach,Plot",https://cards.scryfall.io/normal/front/3/9/398d9a16-d72c-42e2-a0ea-d9da642ee046.jpg?1712355789
Long River Lurker,Creature — Frog Scout,"Ward {1}
Other Frogs you control have ward {1}.
When this creature enters, target creature you control can't be blocked this turn. Whenever that creature deals combat damage this turn, you may exile it. If you do, return it to the battlefield under its owner's control.",U,3.0,uncommon,Bloomburrow,2024-08-02,2,3,Ward,https://cards.scryfall.io/normal/front/7/c/7c267719-cd03-4003-b281-e732d5e42a1e.jpg?1721426137
Long River's Pull,Instant,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Counter target creature spell. If the gift was promised, instead counter target spell.",U,2.0,uncommon,Bloomburrow,2024-08-02,,,Gift,https://cards.scryfall.io/normal/front/1/c/1c81d0fa-81a1-4f9b-a5fd-5a648fd01dea.jpg?1721426147
Longstalk Brawl,Sorcery,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
Choose target creature you control and target creature you don't control. Put a +1/+1 counter on the creature you control if the gift was promised. Then those creatures fight each other.",G,1.0,common,Bloomburrow,2024-08-02,,,"Gift,Fight",https://cards.scryfall.io/normal/front/c/7/c7ef748c-b5e5-4e7d-bf2e-d3e6c08edb42.jpg?1721426861
"Loot, Exuberant Explorer",Legendary Creature — Beast Noble,"You may play an additional land on each of your turns.
{4}{G}{G}, {T}: Look at the top six cards of your library. You may reveal a creature card with mana value less than or equal to the number of lands you control from among them and put it onto the battlefield. Put the rest on the bottom in a random order.",G,3.0,rare,Foundations,2024-11-15,1,4,,https://cards.scryfall.io/normal/front/0/9/09980ce6-425b-4e03-94d0-0f02043cb361.jpg?1730488991
"Loot, the Key to Everything",Legendary Creature — Beast Noble,"Ward {1}
At the beginning of your upkeep, exile the top X cards of your library, where X is the number of card types among other nonland permanents you control. You may play those cards this turn.","G,R,U",3.0,mythic,The Big Score,2024-04-19,1,2,Ward,https://cards.scryfall.io/normal/front/f/b/fb169fa2-c92e-45f7-89a2-0ca0e3910a1c.jpg?1739804220
"Loot, the Pathfinder",Legendary Creature — Beast Noble,"Double strike, vigilance, haste
Exhaust — {G}, {T}: Add three mana of any one color. (Activate each exhaust ability only once.)
Exhaust — {U}, {T}: Draw three cards.
Exhaust — {R}, {T}: Loot deals 3 damage to any target.","G,R,U",5.0,mythic,Aetherdrift,2025-02-14,2,4,"Vigilance,Haste,Exhaust,Double strike",https://cards.scryfall.io/normal/front/3/3/33c59c04-4c0b-4a60-826e-3a7757d0b2a2.jpg?1738356691
